1;1978;11;1;0.264
2;1978;11;2;0.274
3;1978;11;3;-9999
4;1978;11;4;-9999
5;1978;11;5;-9999
6;1978;11;6;0.278
7;1978;11;7;0.274
8;1978;11;8;0.29
9;1978;11;9;-9999
10;1978;11;10;-9999
11;1978;11;11;-9999
12;1978;11;12;0.297
13;1978;11;13;0.282
14;1978;11;14;0.289
15;1978;11;15;-9999
16;1978;11;16;-9999
17;1978;11;17;-9999
18;1978;11;18;0.321
19;1978;11;19;-9999
20;1978;11;20;0.284
21;1978;11;21;-9999
22;1978;11;22;-9999
23;1978;11;23;-9999
24;1978;11;24;0.288
25;1978;11;25;-9999
26;1978;11;26;-9999
27;1978;11;27;-9999
28;1978;11;28;-9999
29;1978;11;29;-9999
30;1978;11;30;0.282
31;1978;12;1;-9999
32;1978;12;2;-9999
33;1978;12;3;-9999
34;1978;12;4;-9999
35;1978;12;5;-9999
36;1978;12;6;-9999
37;1978;12;7;-9999
38;1978;12;8;-9999
39;1978;12;9;-9999
40;1978;12;10;-9999
41;1978;12;11;-9999
42;1978;12;12;-9999
43;1978;12;13;-9999
44;1978;12;14;-9999
45;1978;12;15;-9999
46;1978;12;16;-9999
47;1978;12;17;-9999
48;1978;12;18;-9999
49;1978;12;19;-9999
50;1978;12;20;-9999
51;1978;12;21;-9999
52;1978;12;22;-9999
53;1978;12;23;-9999
54;1978;12;24;-9999
55;1978;12;25;-9999
56;1978;12;26;-9999
57;1978;12;27;-9999
58;1978;12;28;-9999
59;1978;12;29;-9999
60;1978;12;30;-9999
61;1978;12;31;-9999
62;1979;1;1;-9999
63;1979;1;2;-9999
64;1979;1;3;-9999
65;1979;1;4;-9999
66;1979;1;5;-9999
67;1979;1;6;-9999
68;1979;1;7;-9999
69;1979;1;8;-9999
70;1979;1;9;-9999
71;1979;1;10;-9999
72;1979;1;11;-9999
73;1979;1;12;-9999
74;1979;1;13;-9999
75;1979;1;14;-9999
76;1979;1;15;-9999
77;1979;1;16;-9999
78;1979;1;17;-9999
79;1979;1;18;-9999
80;1979;1;19;-9999
81;1979;1;20;-9999
82;1979;1;21;-9999
83;1979;1;22;-9999
84;1979;1;23;-9999
85;1979;1;24;-9999
86;1979;1;25;-9999
87;1979;1;26;-9999
88;1979;1;27;-9999
89;1979;1;28;-9999
90;1979;1;29;-9999
91;1979;1;30;-9999
92;1979;1;31;-9999
93;1979;2;1;-9999
94;1979;2;2;-9999
95;1979;2;3;-9999
96;1979;2;4;-9999
97;1979;2;5;-9999
98;1979;2;6;-9999
99;1979;2;7;-9999
100;1979;2;8;-9999
101;1979;2;9;-9999
102;1979;2;10;-9999
103;1979;2;11;-9999
104;1979;2;12;-9999
105;1979;2;13;-9999
106;1979;2;14;-9999
107;1979;2;15;-9999
108;1979;2;16;0.287
109;1979;2;17;-9999
110;1979;2;18;-9999
111;1979;2;19;-9999
112;1979;2;20;-9999
113;1979;2;21;-9999
114;1979;2;22;-9999
115;1979;2;23;-9999
116;1979;2;24;-9999
117;1979;2;25;-9999
118;1979;2;26;-9999
119;1979;2;27;-9999
120;1979;2;28;-9999
121;1979;3;1;-9999
122;1979;3;2;-9999
123;1979;3;3;-9999
124;1979;3;4;-9999
125;1979;3;5;-9999
126;1979;3;6;-9999
127;1979;3;7;-9999
128;1979;3;8;-9999
129;1979;3;9;-9999
130;1979;3;10;-9999
131;1979;3;11;-9999
132;1979;3;12;-9999
133;1979;3;13;-9999
134;1979;3;14;-9999
135;1979;3;15;-9999
136;1979;3;16;-9999
137;1979;3;17;-9999
138;1979;3;18;-9999
139;1979;3;19;-9999
140;1979;3;20;-9999
141;1979;3;21;-9999
142;1979;3;22;-9999
143;1979;3;23;-9999
144;1979;3;24;-9999
145;1979;3;25;-9999
146;1979;3;26;-9999
147;1979;3;27;-9999
148;1979;3;28;0.275
149;1979;3;29;-9999
150;1979;3;30;-9999
151;1979;3;31;-9999
152;1979;4;1;-9999
153;1979;4;2;-9999
154;1979;4;3;-9999
155;1979;4;4;-9999
156;1979;4;5;-9999
157;1979;4;6;-9999
158;1979;4;7;-9999
159;1979;4;8;-9999
160;1979;4;9;-9999
161;1979;4;10;-9999
162;1979;4;11;-9999
163;1979;4;12;-9999
164;1979;4;13;0.263
165;1979;4;14;-9999
166;1979;4;15;-9999
167;1979;4;16;-9999
168;1979;4;17;-9999
169;1979;4;18;-9999
170;1979;4;19;-9999
171;1979;4;20;-9999
172;1979;4;21;-9999
173;1979;4;22;-9999
174;1979;4;23;-9999
175;1979;4;24;-9999
176;1979;4;25;-9999
177;1979;4;26;-9999
178;1979;4;27;-9999
179;1979;4;28;-9999
180;1979;4;29;-9999
181;1979;4;30;-9999
182;1979;5;1;-9999
183;1979;5;2;-9999
184;1979;5;3;-9999
185;1979;5;4;-9999
186;1979;5;5;0.246
187;1979;5;6;-9999
188;1979;5;7;-9999
189;1979;5;8;-9999
190;1979;5;9;-9999
191;1979;5;10;-9999
192;1979;5;11;0.251
193;1979;5;12;-9999
194;1979;5;13;-9999
195;1979;5;14;-9999
196;1979;5;15;-9999
197;1979;5;16;-9999
198;1979;5;17;-9999
199;1979;5;18;-9999
200;1979;5;19;-9999
201;1979;5;20;-9999
202;1979;5;21;-9999
203;1979;5;22;-9999
204;1979;5;23;-9999
205;1979;5;24;-9999
206;1979;5;25;-9999
207;1979;5;26;-9999
208;1979;5;27;-9999
209;1979;5;28;-9999
210;1979;5;29;-9999
211;1979;5;30;-9999
212;1979;5;31;-9999
213;1979;6;1;-9999
214;1979;6;2;0.242
215;1979;6;3;-9999
